CustomerID,Lookalikes
C0001,"[('C0091', 0.9331389496316869), ('C0190', 0.9296696802013682), ('C0048', 0.9296696802013682)]"
C0002,"[('C0134', 0.9805806756909203), ('C0159', 0.9647638212377323), ('C0106', 0.9636241116594317)]"
C0003,"[('C0003', 1.0000000000000002), ('C0031', 1.0000000000000002), ('C0195', 0.9814954576223639)]"
C0004,"[('C0113', 0.9697622757528539), ('C0047', 0.9534625892455924), ('C0012', 0.9477409446747028)]"
C0005,"[('C0007', 0.9999999999999998), ('C0140', 0.944911182523068), ('C0146', 0.9354143466934852)]"
C0006,"[('C0147', 0.9578949441427994), ('C0187', 0.9467292624062573), ('C0071', 0.9428090415820634)]"
C0007,"[('C0007', 0.9999999999999998), ('C0140', 0.944911182523068), ('C0146', 0.9354143466934852)]"
C0008,"[('C0059', 0.9813362488634229), ('C0154', 0.9742785792574937), ('C0189', 0.960768922830523)]"
C0009,"[('C0198', 0.9428090415820636), ('C0149', 0.8616404368553292), ('C0092', 0.8616404368553292)]"
C0010,"[('C0061', 0.984731927834662), ('C0099', 0.9061030445113443), ('C0034', 0.8764598212022147)]"
C0011,"[('C0126', 0.9922778767136679), ('C0153', 0.9460998335825321), ('C0191', 0.9309493362512629)]"
C0012,"[('C0152', 0.9900436758984323), ('C0104', 0.9874208829065751), ('C0065', 0.9783991809404571)]"
C0013,"[('C0107', 0.9869275424396535), ('C0049', 0.9485040136686709), ('C0184', 0.9258200997725516)]"
C0014,"[('C0060', 1.0000000000000002), ('C0089', 0.9622504486493763), ('C0196', 0.8703882797784893)]"
C0015,"[('C0131', 0.9486832980505138), ('C0185', 0.9128709291752769), ('C0036', 0.9128709291752769)]"
C0016,"[('C0183', 1.0), ('C0049', 0.9686648999069225), ('C0029', 0.9594032236002469)]"
C0017,"[('C0075', 0.9851380077988758), ('C0041', 0.9791300486523296), ('C0081', 0.9690874237046978)]"
C0018,"[('C0035', 0.9622504486493764), ('C0194', 0.9271726499455307), ('C0122', 0.9271726499455307)]"
C0019,"[('C0070', 0.9869275424396535), ('C0023', 0.9511897312113418), ('C0064', 0.9078412990032037)]"
C0020,"[('C0050', 0.8728715609439696), ('C0026', 0.769800358919501), ('C0035', 0.769800358919501)]"
C0021,"[('C0028', 0.9534625892455924), ('C0161', 0.9534625892455924), ('C0101', 0.9335638713962129)]"
C0022,"[('C0200', 0.9799578870122229), ('C0145', 0.9772545497599154), ('C0093', 0.9759000729485333)]"
C0023,"[('C0019', 0.9511897312113418), ('C0068', 0.917662935482247), ('C0087', 0.9011271137791659)]"
C0024,"[('C0046', 0.9999999999999998), ('C0116', 0.9750168689498874), ('C0189', 0.9544271444636664)]"
C0025,"[('C0076', 0.984731927834662), ('C0187', 0.968962790249909), ('C0104', 0.958514475634041)]"
C0026,"[('C0055', 0.9486832980505138), ('C0067', 0.9245003270420484), ('C0154', 0.9166666666666666)]"
C0027,"[('C0101', 0.9457324874869208), ('C0161', 0.9296696802013682), ('C0142', 0.9116846116771036)]"
C0028,"[('C0021', 0.9534625892455924), ('C0161', 0.95), ('C0054', 0.9325048082403139)]"
C0029,"[('C0183', 0.9594032236002469), ('C0016', 0.9594032236002469), ('C0034', 0.9486832980505138)]"
C0030,"[('C0109', 0.9374100178301058), ('C0042', 0.9091372900969896), ('C0176', 0.9091372900969896)]"
C0031,"[('C0003', 1.0000000000000002), ('C0031', 1.0000000000000002), ('C0195', 0.9814954576223639)]"
C0032,"[('C0192', 0.9486832980505138), ('C0107', 0.9438798074485389), ('C0188', 0.8783100656536799)]"
C0033,"[('C0058', 1.0000000000000002), ('C0042', 0.8728715609439696), ('C0176', 0.8728715609439696)]"
C0034,"[('C0099', 0.9486832980505138), ('C0029', 0.9486832980505138), ('C0049', 0.9296696802013682)]"
C0035,"[('C0018', 0.9622504486493764), ('C0055', 0.9486832980505138), ('C0157', 0.9467292624062573)]"
C0036,"[('C0185', 1.0000000000000002), ('C0079', 0.9428090415820636), ('C0024', 0.936585811581694)]"
C0037,"[('C0172', 0.9789450103725611), ('C0136', 0.9598276382674855), ('C0065', 0.9555330859059092)]"
C0038,"[('C0038', 1.0000000000000002), ('C0065', 0.9799578870122229), ('C0047', 0.9689627902499088)]"
